2026-03-14 14:47:10 startup archives install
2026-03-14 14:47:10 install base-passwd:amd64 <none> 3.6.3build1
2026-03-14 14:47:10 status half-installed base-passwd:amd64 3.6.3build1
2026-03-14 14:47:10 status unpacked base-passwd:amd64 3.6.3build1
2026-03-14 14:47:10 configure base-passwd:amd64 3.6.3build1 3.6.3build1
2026-03-14 14:47:10 status half-configured base-passwd:amd64 3.6.3build1
2026-03-14 14:47:10 status installed base-passwd:amd64 3.6.3build1
2026-03-14 14:47:10 startup archives install
2026-03-14 14:47:10 install base-files:amd64 <none> 13ubuntu10
2026-03-14 14:47:10 status half-installed base-files:amd64 13ubuntu10
2026-03-14 14:47:10 status unpacked base-files:amd64 13ubuntu10
2026-03-14 14:47:10 configure base-files:amd64 13ubuntu10 13ubuntu10
2026-03-14 14:47:11 status half-configured base-files:amd64 13ubuntu10
2026-03-14 14:47:11 status installed base-files:amd64 13ubuntu10
2026-03-14 14:47:11 startup archives install
2026-03-14 14:47:11 upgrade dpkg 1.22.6ubuntu6 1.22.6ubuntu6
2026-03-14 14:47:11 status half-configured dpkg 1.22.6ubuntu6
2026-03-14 14:47:11 status unpacked dpkg 1.22.6ubuntu6
2026-03-14 14:47:11 status half-installed dpkg 1.22.6ubuntu6
2026-03-14 14:47:11 status unpacked dpkg:amd64 1.22.6ubuntu6
2026-03-14 14:47:11 configure dpkg:amd64 1.22.6ubuntu6 1.22.6ubuntu6
2026-03-14 14:47:11 status half-configured dpkg:amd64 1.22.6ubuntu6
2026-03-14 14:47:11 status installed dpkg:amd64 1.22.6ubuntu6
2026-03-14 14:47:11 startup archives install
2026-03-14 14:47:11 install libc6:amd64 <none> 2.39-0ubuntu8
2026-03-14 14:47:11 status half-installed libc6:amd64 2.39-0ubuntu8
2026-03-14 14:47:12 status unpacked libc6:amd64 2.39-0ubuntu8
2026-03-14 14:47:12 configure libc6:amd64 2.39-0ubuntu8 2.39-0ubuntu8
2026-03-14 14:47:12 status half-configured libc6:amd64 2.39-0ubuntu8
2026-03-14 14:47:12 status installed libc6:amd64 2.39-0ubuntu8
2026-03-14 14:47:12 startup archives install
2026-03-14 14:47:12 install perl-base:amd64 <none> 5.38.2-3.2build2
2026-03-14 14:47:12 status half-installed perl-base:amd64 5.38.2-3.2build2
2026-03-14 14:47:13 status unpacked perl-base:amd64 5.38.2-3.2build2
2026-03-14 14:47:13 configure perl-base:amd64 5.38.2-3.2build2 5.38.2-3.2build2
2026-03-14 14:47:13 status half-configured perl-base:amd64 5.38.2-3.2build2
2026-03-14 14:47:13 status installed perl-base:amd64 5.38.2-3.2build2
2026-03-14 14:47:13 startup archives install
2026-03-14 14:47:13 install mawk:amd64 <none> 1.3.4.20240123-1build1
2026-03-14 14:47:13 status half-installed mawk:amd64 1.3.4.20240123-1build1
2026-03-14 14:47:13 status unpacked mawk:amd64 1.3.4.20240123-1build1
2026-03-14 14:47:13 configure mawk:amd64 1.3.4.20240123-1build1 1.3.4.20240123-1build1
2026-03-14 14:47:13 status half-configured mawk:amd64 1.3.4.20240123-1build1
2026-03-14 14:47:13 status installed mawk:amd64 1.3.4.20240123-1build1
2026-03-14 14:47:13 startup archives unpack
2026-03-14 14:47:13 upgrade base-files:amd64 13ubuntu10 13ubuntu10
2026-03-14 14:47:13 status half-configured base-files:amd64 13ubuntu10
2026-03-14 14:47:13 status unpacked base-files:amd64 13ubuntu10
2026-03-14 14:47:13 status half-installed base-files:amd64 13ubuntu10
2026-03-14 14:47:13 status unpacked base-files:amd64 13ubuntu10
2026-03-14 14:47:13 upgrade base-passwd:amd64 3.6.3build1 3.6.3build1
2026-03-14 14:47:13 status half-configured base-passwd:amd64 3.6.3build1
2026-03-14 14:47:13 status unpacked base-passwd:amd64 3.6.3build1
2026-03-14 14:47:13 status half-installed base-passwd:amd64 3.6.3build1
2026-03-14 14:47:13 status unpacked base-passwd:amd64 3.6.3build1
2026-03-14 14:47:13 install bash:amd64 <none> 5.2.21-2ubuntu4
